	Sample_1S3	Sample_1S6	Sample_1S9	Sample_1S12	Sample_1S15	Sample_1S18	Sample_1S21	Sample_1S24	Sample_N1	Sample_N7	Sample_N13	Sample_N19	Sample_N25	Sample_N31	Sample_N37	Sample_N43	Sample_N2	Sample_N8	Sample_N14	Sample_N20	Sample_N26	Sample_N32	Sample_N38	Sample_N44	Sample_N3	Sample_N9	Sample_N15	Sample_N21	Sample_N27	Sample_N33	Sample_N39	Sample_N45	Sample_N4	Sample_N10	Sample_N16	Sample_N22	Sample_N28	Sample_N34	Sample_N40	Sample_N46	Sample_N5	Sample_N11	Sample_N17	Sample_N23	Sample_N29	Sample_N35	Sample_N41	Sample_N47	Sample_N6	Sample_N12	Sample_N18	Sample_N24	Sample_N30	Sample_N36	Sample_N42	Sample_N48	Sample_1S1	Sample_1S4	Sample_1S7	Sample_1S10	Sample_1S13	Sample_1S16	Sample_1S19	Sample_1S22	Sample_N50	Sample_1S2	Sample_1S5	Sample_1S8	Sample_1S11	Sample_1S14	Sample_1S17	Sample_1S20	Sample_1S23	Sample_1S25	Sample_N49
hsa-miR-92b-3p|miRNA|hsa-miR-92b-3p|hsa-miR-92b-3p|hsa-miR-92b-3p|0|22	-0.9008366997478325	-0.3932015925039321	-0.8517654871827428	-2.4186235973403	0.1686250883117874	-1.9885452438020192	-0.4680087905887785	-0.4143338094191036	0.9387027568779686	-1.1991245628616503	-0.004276512432222415	0.8076978200348057	-0.25790431952116943	0.20095954743130587	0.6910177714672282	-0.27022907379977534	0.05341872532996662	-1.3629306270945953	0.2763494837269162	-0.4145171323905569	0.11111035110075307	0.054839555067288354	-0.07201107440583826	-2.408224544659496	0.38060291320157646	-0.39856688031140813	0.5289127573253882	0.02455358147634592	0.3416059093977909	-0.3724643963035067	0.47429685195464183	0.4119067782274791	0.16061291223366048	-0.12588474268806196	-1.316768876509878	0.33577217458262293	1.3955376531139494	-1.2864661184719353	-1.0225467536182238	0.7969663110817015	0.0	0.44164175849298	1.3622627825163276	0.78610315186368	0.5195516681152275	-0.9833238663886392	-0.18109456713234684	0.5160592292105509	1.5056707426240739	-0.11407667720664895	-0.0044107350882401876	0.47694236052813643	0.6777668425387202	-0.4534982716119511	-0.46473824826788074	0.7854890368237216	-1.1430032702486426	-0.7325589868000787	-0.051302865061033286	1.1352962839385061	1.032957245593514	-0.6305887672226498	0.47431182693390916	0.9763869565347911	0.5396965698273379	-0.08667506503054352	-1.1449249456953852	-0.7792523155789115	0.5726059838800629	-0.4835267839706102	-2.4209934587522555	1.7014000007918768	-1.607419243705929	1.1289663041231561	0.8045783841930696
22263|tRNA|22263|peak_130|22263|0|72	0.6208946278495461	0.476030043574155	0.582374011542156	-0.2412195177468248	-0.08845496303672493	0.49750432169080083	0.679807338408419	-0.012486639009681121	-0.3525373171825762	0.0	-0.7028291212836149	-0.5539050162359758	-1.2010362643493868	-0.5518008306355926	0.44733236175305535	0.2301263184561277	0.38736887040073575	-0.07043970327792673	0.02125956176096354	0.3364600025240643	-0.8240894187081825	-0.3549690241282399	0.15662980581625996	0.8493099008133779	-0.03144060064911979	0.34150753989202337	0.05819465059043738	-0.3801563967015528	-0.24744075770349727	0.3619376315595929	0.5654492082548526	0.16600080192854239	0.4525722627773803	-0.34610398348164206	1.2201861400354668	-0.06110017357924353	-1.4046688160906726	1.3011800508363343	-1.9937395543340293	-0.20386343876624904	-0.573886656351053	-0.10359701104490715	-0.3488775062224887	-0.8546882421301386	-0.5607850913234437	1.1326132807171414	0.364884781764237	0.7116789800249937	-0.5962048753168797	-0.10617331321612357	-2.2862153458826326	-2.6404661753830294	-0.9693008284176236	-0.06330490509169262	-2.046966351420417	-1.9147865122215337	0.9581525399432942	0.7013509204814596	0.5427389777498719	-0.07306813671508522	-1.3906276898947223	-0.5595127823348602	0.21373343661630254	-0.4987075355066098	0.4413371230403914	0.6574195480788738	0.5987575778436108	0.5311887804824253	0.0023197242921907976	0.473461590283636	1.4883311560333177	-0.8612636907712196	0.25986859637589493	0.6570075665544847	0.3645364448864538
24305|tRNA|24305|peak_155|24305|0|73	0.18705315239557774	0.633107538978059	0.3124888391798592	-0.77091365662178	0.11519219915508348	0.16061989248314174	0.5772266252334421	-0.13441710265301707	-0.2140237089010745	-0.05057752437989465	0.30082207698598223	-0.7979256977770763	-0.3212697206174996	0.5505838738102534	1.329463688401479	0.4561541569113614	0.5181216300952589	0.03760189292833295	0.06363157061167969	0.0	0.17486589713517167	0.15339917615889886	0.0713155938144254	1.0597359631753362	-0.036652752343808305	-0.4747040220404726	-0.27680896565897684	-0.273252438787587	-2.072424879624761	-0.7126778283235177	0.5254634179713725	-0.04918838929894166	-0.09899680690106054	-0.12087075421882064	0.6921048326108635	-0.032680266562278806	-1.0114322698249525	1.471302446422495	-1.1497726803275097	-0.7139616896723888	-0.6956578783473816	-0.3613262497580674	-0.901196580625452	-0.8915254059490675	-0.1306187728573724	0.6386796858653842	1.080180719346457	0.5736000089190794	-0.9786074533145854	-0.3458434931670769	-1.6647267558115892	-2.696952049673597	-1.0450478206112095	0.27996679056461926	-2.0256797590743116	-0.6940193718949316	0.7857328462105633	0.4341561032026983	0.29553932411524314	-0.21233837741665973	0.32814325188556476	-0.3208386740180844	0.5953053160287359	-0.9911887666210972	0.3700738312838228	0.45905212926104894	0.3971205028618953	0.06998952448361354	-0.2686134697456795	0.17239488736196856	0.6488679963164736	-0.9669703453209975	0.5997743943341739	0.29663309752462547	-0.7047866364593013
ENSG00000124203.6|mRNA|ZNF831|peak_670|ENST00000371030.3|7180|7220	-0.6508076198337314	-0.9193199038792416	0.483914461632187	-0.6784630265823454	-0.1755240329265349	0.08812002812324923	-0.15987796788662653	-0.26389158848999666	-0.2868351056251691	0.5465820052757047	0.5128513096860408	0.39766426009092326	0.26229172413817214	-0.5847476333889856	-1.565063692853642	0.782687719659229	-1.076644270047038	-0.689935297216347	0.5311602427365362	0.5295992986795923	0.3903837439214053	-1.266595756381676	-0.15417152365742487	0.5476420073425553	-0.12294533965167459	0.3062249535346464	0.5626813845173784	0.391243220840692	0.018698556012795426	-0.612918165709937	-0.620869440278631	0.6124214525895765	-0.22415443642922508	-0.03348280450710111	0.6220460673584627	0.45460823559500646	0.6160613189995637	-0.4767296693838209	0.0	0.63549113982294	0.04452786661383861	-0.36173882983065225	0.5178652879799125	0.5450833637057424	-0.28907290937471863	0.203224607063313	-0.13284355807335127	0.02333426505828849	-0.3324614190852122	0.6955633114009929	0.5439789410535516	0.5474172834689961	-0.02826679194626778	0.38044656527948645	0.2936078779727531	0.033206229691534826	-0.6836695284552536	-1.0586233816604504	0.5335883597127857	0.33282244054848864	-0.6812713803985992	-0.32653537120097914	-0.2372539496988543	-1.822018355934798	0.32234316458481493	-0.19794613743989345	-1.0191389098133505	0.5864438428456495	0.20606301263363078	-0.6938981451789659	-0.6654119063799742	-0.459273387220863	-1.822018355934798	0.3997980984900933	-1.8543098473401545
ENSG00000264813.6|mRNA|AC113554.2|peak_1335|ENST00000577647.2|4060|4080	-0.24374213064897018	0.17634760214508982	0.5158082632187985	-0.36202050936834823	0.16580626015001323	0.813013475989224	0.604185086175033	-0.6204945297152582	-0.8463203441085319	-1.7137273400861293	0.5778926971851308	0.2807188450826711	-0.09950069784868558	-1.3676033122611908	-0.15388837643506387	0.5680652600870333	-1.2408091296610106	-1.6137330726337287	0.23131133325406913	0.37499915624988506	-0.05689655808349084	-2.0778023079892183	0.31784428422016225	0.4779919151099469	-0.7361806172487978	-1.7964378727391583	0.2938851677628983	-0.2857333840182149	-1.1102706931362627	0.10600920628197387	-1.2019870456590043	0.21616865004483046	-1.177082702596677	-1.7467967790749779	0.6582322234502588	-0.08590890902449336	0.3859651859235545	0.6472837472908122	0.9141287118369337	0.5090149806030194	0.12393669223486382	-1.8507822515219552	0.14162066641786147	0.339439690666469	-0.6134316364830206	-0.1125862355190074	-0.4699113449471501	-1.164464353574696	-0.7159942326680495	-1.6924400202336218	0.914823409968809	0.44648757050410093	-1.0536219931323874	0.6283975224852608	-0.001041524852185371	-0.6114941813130418	-0.19934975337591007	0.2520183176386291	0.29352039425860604	2.1603566859209136	0.0	0.2222061753459775	0.38010864787816667	-0.42448157815604126	0.1373728035383871	-0.17467112646577343	1.0209768945877276	0.8398821343464266	2.5715796013186614	0.0004497963115022196	0.5885517995287778	-0.2990187939569488	-0.29916647623433645	-0.30311131814509523	-1.5903873813631009
chr12_124921740_124921800_-|genomic|chr12_124921740_124921800_-|peak_2602|chr12|124921740|124921800	0.6529365360617612	0.6900155835379064	0.4897471629928466	0.6211179460318746	-0.06234995975171334	-0.3947353156385831	1.2877023464782524	-0.49869310836530784	0.753699348835657	0.8014035266888524	-0.26234962340878476	-0.7899344105114375	-0.5047013657243523	0.6652288945949112	0.43439783915316305	0.26264080258837086	0.6215318855483798	0.41646906350308627	-0.3315131543890915	0.2986079763047933	-0.15097504042628831	0.8275036045009581	-0.0394454948070903	0.9926710555580792	-0.24161851159859918	-0.1258437304012796	0.16870523972802698	-0.1345688651043504	-0.8606823093341663	-0.44721378292799596	0.0	-0.26136527670665316	0.4671239394333445	-0.45986374063861263	0.5565924388144448	-0.22804583687320015	-0.5488104574227585	0.4993813661257617	-2.1690426269147927	-0.1317479166102918	-0.17563009363940418	-0.3492729584335925	-0.5954817652930122	-0.5264832881480872	0.12264119455724007	0.6114124298231404	0.1258295887608128	0.02529313242088998	-0.632957000334549	-0.16397413228552155	-1.074034390711523	-1.685111949627672	0.4432767146826343	0.6014584626189741	-0.9622391458561269	-1.592955711752159	1.019339382865755	0.8699800040261023	0.25057546554928956	-0.1457312224676763	0.04921164864219761	0.2299087685932276	-0.6594867307331482	-0.560366206027831	0.05995395957412236	1.413202256775479	1.2352014796510489	-0.529829140677604	-1.8851353270678295	1.24003848048919	1.3385688241745335	-0.09252452637311141	0.3651044518898731	0.863130891224413	-0.06958814350219311
chr17_66755840_66755880_+|genomic|chr17_66755840_66755880_+|peak_3193|chr17|66755840|66755880	-0.11185427014353119	-0.7948654554823218	-0.25920112406721424	-0.191487911671411	-0.5881246780919467	-0.41203350905520364	-0.45169276071463293	-0.15406604486183526	0.3869844362622809	0.18062986456734045	-0.58133156350325	-0.5301580942934784	-0.7368310460950779	-0.4552045365443952	-0.24299407296209544	-0.27312015932039735	0.05408779345759093	-0.04974312245491397	0.0	-0.05347324761901662	-0.13550514400169034	0.1601716382624931	0.1470339470909676	0.061069140172172055	1.707451074115024	2.392965432853252	1.9856217635245608	2.156619454004862	2.22834088937891	2.1456287344600815	2.1125246977093552	1.8375928327588682	1.178560265759967	0.9505277615528862	1.0222830939640946	0.764019461500804	1.1502504598619399	1.3687934850053556	0.4900511952801046	1.1614830974060162	0.5403485594854284	0.8824192179505573	0.6050606647944701	0.3953010665182356	0.6523822724652656	0.924417279253416	-0.08977171987886176	0.6357876774791472	0.12150293981105746	0.5824907602124216	-0.4223188791962214	-0.306406794916609	0.5383532040551287	0.5628482671003875	0.29468748718882437	0.27611850591918086	0.11188619759379839	0.13860313731519708	-0.1276880383267099	-0.21435933141603963	-0.2867124083181216	-0.2478968309674381	-0.3570118416019358	-0.28603322284419264	-0.402139816124447	-0.4248375353939473	-0.7409129462878755	-0.45195525621419835	-0.6187137391875547	-0.64058587987293	-1.048754148451109	-1.6006144289059394	-0.49742181949266107	-0.6946780557526506	-0.27971104159871035
chr17_72113840_72113880_-|genomic|chr17_72113840_72113880_-|peak_3198|chr17|72113840|72113880	-0.669482180706835	-0.5587572676906352	-1.2330879268438042	-1.0996999031043375	-0.12541819042979924	-1.7202736432698869	0.541195808489505	0.6015000628102342	0.11244759571117909	-0.8393401933016026	-0.7950576484674502	0.2299063146118461	0.5268698665861921	-0.400070446598174	-0.148304405962595	0.0010320237731841285	0.09022624951254547	-2.2071985739454334	0.7487798787975878	0.8585095546393863	0.867468539863491	-0.18671880990938444	-0.22003491362379862	-2.11803666131052	-0.3531868319911832	0.3151339183946072	0.23487798544773508	0.9192304900398107	1.0833441629178406	-0.08610832095372908	0.27735555275258367	-0.4371401673296591	0.0	0.09573577794143152	-0.2148449948431456	0.7698079128899331	1.712250974260437	-0.6806665072169524	-1.7194820237187094	-0.08733134032076995	-0.49479415759464146	0.32343242502301506	0.9712659248312089	0.8227409445868465	0.41117700801678186	-1.0241713697760855	-0.208649503750206	0.030888421893224355	0.8703045716948492	0.03782233627700546	0.5190147597077198	0.9385191705703377	0.8648886494013351	0.046013532857837935	-0.8929933803349722	1.0577927591688119	-1.105583180375072	-1.057711553162955	-0.2895922147709609	1.1480421770438596	0.302132198076981	-0.3715601798339227	-0.3862849501565911	-0.29473215216645077	0.5450551265129108	-0.28586976704601713	-0.9741332082478367	-0.791261096237716	0.8548519818734753	0.037655075445001206	-2.0078624761329573	1.3578883007741493	-0.4180493203115503	-0.07871797749078403	0.22093880010706318
chr4_83237860_83237900_+|genomic|chr4_83237860_83237900_+|peak_4251|chr4|83237860|83237900	0.0019257764153911092	-0.4779095374510897	0.5743717615756156	-2.3421330285067135	0.5279588158309247	0.17791151347717998	-0.47318025605152764	-1.8783063164555192	0.004532260428201846	0.1876403591406856	0.7500825086364137	0.715066917732181	0.24592468070989665	0.03999928555382019	-0.129597526806044	0.935125858285232	-0.9043289441402674	-0.5454789951497416	0.6210464688077524	0.672436809219998	0.38251430280755	-0.26411480075802646	0.12465437748763272	0.7560904005708046	-0.49040555149051257	-0.030974513398754365	0.6568582121620582	0.6649695783028601	0.0691008824102723	-0.5503290976457924	-0.263041493060221	0.624406767878464	-0.15679956126149452	0.03781061499609371	0.6711123020036946	0.6706275459260624	0.7060136636182315	-1.41411405586622	-0.301275822426342	0.8825400198467428	-0.47494422481930354	-0.19592353892745615	0.6080052001570585	0.7254207679388097	-0.2844276646515911	-0.12682782095310693	-0.005504522530044611	-0.25356936304782524	-0.3788554764414268	-0.046668351969943664	0.7204525108174155	0.7379923932628831	0.22352084821089857	0.0	-0.17607341408257315	-0.1308809434091435	-0.6542681861388504	-0.2815804769432586	0.6013700584810611	0.6211348483034838	-0.5540489591707926	-0.48001190068994076	-0.027139822564829653	-1.8783063164555192	0.6022787291491295	-0.31295894682692454	0.0345722555969914	0.6765015830835809	0.6132603348704407	-0.8489539789921786	-1.0339977667106321	-0.3868377198803802	-1.8783063164555192	0.6276981017254035	-2.283138041013276
chr5_37996200_37996240_-|genomic|chr5_37996200_37996240_-|peak_4408|chr5|37996200|37996240	0.6713455922660762	0.3078447583885387	0.3712264650020956	0.6715409461110584	0.27986776442279687	1.168080194931718	-0.7978488804724112	-0.9983446277434552	-0.23722505469283456	-0.6266765845959242	0.1523460975174328	0.06975370889312925	-0.04453128452980265	-0.7103271790085545	-0.05724921163641075	0.05704471218427619	-1.1607990174178455	-0.6878030726398291	0.0757246971267221	-0.17313484512639313	-0.6141588070907578	-0.21806066716533973	0.17553518216494246	0.6477042241423473	-0.053740771660774796	-1.0427804050543743	0.019621396880625072	-0.048578024740950694	-0.5880261766617297	0.6685930058446888	-0.7926531544501194	-0.12791351916053734	-0.4768674023996752	-0.7736808806523764	0.5824171091579831	-0.18957793097191725	1.2774226862387166	-0.41535549267266775	1.347928378915253	0.0	0.4211036704581261	-0.970514005206484	0.3156055891288742	2.037922702671269	-0.8625120988778275	0.7011411199713379	0.027857567016765918	-0.3279235130963921	-1.0218946389936034	-1.1631215628418905	0.8186770638935337	0.4198839717919794	0.012772985977939504	-0.21100659210116288	0.8118032114214399	-1.2159250962064774	-0.3130828169129499	0.029717317214893332	0.3091120142000606	0.4320997272130213	0.2317975974172894	0.1904914742507289	-0.3306802254394583	1.171027866970923	-0.6379980562574609	-0.24794692665656215	1.000960180920529	0.46385145968479424	1.0181608907159945	-0.3391138282020789	0.03543601779722301	-0.8192013222923317	0.3779310444555321	-0.7475661818164326	-1.4707772400376513
